Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)|Latitud|Longitud
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000003|-99.1373136
  Heriberto Frias 544, Narvarte, Benito Juárez, Distrito Federal (cdmx)|6000|1|1.0|20|19.3924579|-99.15970190000002
  Manuel Toissaint 60, Coyoacán, Distrito Federal (cdmx)|5300|2|1.0|40|19.3477033|-99.1556963
  Juan Alvarez 54, La Magdalena Contreras, Distrito Federal (cdmx)|7500|1|1.0|40|19.3015674|-99.2352146
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7000|1|1.0|71|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000003|-99.1373136
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6500|2|1.0|59|19.430267800000003|-99.1373136
  Cerrada Ferrocarril De Cuernavaca 779, Ampliación Granada, Ciudad De México|45000|2|3.0|113|19.441622199999998|-99.1998906
  Privada Paseo De Los Tamarindos No.7, Bosques De Las Lomas, Cuajimalpa De Morelos|42500|3|5.0|290|19.391738600000004|-99.2503287
  Revolución 1336, Guadalupe Inn, Álvaro Obregón, Distrito Federal (cdmx)|22000|2|2.0|102|19.3584367|-99.1894233
  Juan Salvador Agraz 37, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)|29900|2|2.0|125|19.3601662|-99.2800525
  Residencial San Angel 000, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|13700|1|1.0|60|19.3373288|-99.214254
  Miguel De Cervantes Saavedra 303, Irrigación, Ciudad De México|47000|2|2.0|120|19.4404213|-99.20782690000001
  Algeciras 38 -301, Insurgentes Mixcoac, Benito Juárez, Distrito Federal (cdmx)|22500|3|3.0|150|19.3719604|-99.1809593
  Calzada Desierto De Los Leones 4373, Tetelpan, Álvaro Obregón, Distrito Federal (cdmx)|23000|2|2.0|115|19.3462604|-99.21147509999999
  Versalles 33, Juárez, Cuauhtémoc, Distrito Federal (cdmx)|22000|2|2.0|110|19.4309996|-99.15461540000001
  Calzada De Tlalpan 1434, Portales Oriente, Benito Juárez, Distrito Federal (cdmx)|18000|2|2.0|90|19.3665135|-99.1418422
  Popocatépetl 000, Xoco, Benito Juárez, Distrito Federal (cdmx)|22000|2|2.0|83|19.3650397|-99.1637713
  Bucareli 128, Zona Centro, Cuauhtémoc, Distrito Federal (cdmx)|38810|3|2.0|310|19.4286228|-99.1522547
  Ejercito Nacional 453, 200, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)|35000|3|3.0|115|19.438313|-99.1884775
  Luz Saviñon 206, Del Valle, Benito Juárez, Distrito Federal (cdmx)|25000|2|2.0|110|19.393463|-99.1703045
  Calzada México Tacuba 1501, Argentina Poniente, Miguel Hidalgo, Distrito Federal (cdmx)|9500|2|1.0|58|19.455503699999998|-99.21121740000001
  Eugenia 606, Del Valle Centro, Benito Juárez, Distrito Federal (cdmx)|24500|2|2.0|68|19.3878637|-99.168406
  Retorno Arrecife 15, Las Águilas, Álvaro Obregón, Distrito Federal (cdmx)|9500|2|1.0|75|19.34948|-99.219988
  Paseo De La Reforma 439, Cuauhtémoc, Cuauhtémoc, Distrito Federal (cdmx)|65000|1|2.0|120|19.4256497|-99.1723516
  Laguna De Mayrán 375, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|19000|2|2.0|82|19.4401814|-99.1770569
  Adolfo Lopez Mateos 5146, Pedregal De Carrasco, Coyoacán, Distrito Federal (cdmx)|23000|2|2.0|104|19.303820899999998|-99.1770675
  General Emiliano Zapata 360, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|16000|2|2.0|78|19.3676607|-99.160102
  Toltecas 166, Carola, Álvaro Obregón, Distrito Federal (cdmx)|11000|3|2.0|70|19.387282199999998|-99.1917223
  Av Centenario 1762, Ciudad De México, Distrito Federal (cdmx)|16500|1|1.0|50|19.348738100000002|-99.2524181
  Romulo Oarril 520, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|16500|2|2.0|77|19.3377623|-99.2145908
  Iglesia 270, Tizapan, Álvaro Obregón, Distrito Federal (cdmx)|29000|3|2.0|130|19.3362518|-99.1996626
  Av. De Las Torres 805, 407, Torres De Potrero, Álvaro Obregón, Distrito Federal (cdmx)|18000|2|2.0|70|19.334299899999998|-99.2399338
  Presa Falcón 243, Ph1, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)|50000|2|3.0|220|19.4435717|-99.204573
  En Renta Excelente Departamento En Privada De Tamarindos 29, Bosques De Las Lomas, Cuajimalpa De Morelos, Distrito Federal, Bosques De Las Lomas, Cuajimalpa De Morelos|26000|2|2.0|160|19.3845775|-99.2529633
  Av Sta Fe 482, Santa Fe Cuajimalpa, Cuajimalpa De Morelos|22000|1|2.0|87|19.359052300000002|-99.2702192
  Paseo De La Reforma 77, Tabacalera, Cuauhtémoc, Distrito Federal (cdmx)|32750|1|2.0|99|19.433699899999997|-99.1550421
  Ave. San Bernabe 655, San Jerónimo Lídice, Ciudad De México|16000|2|2.0|110|19.3295992|-99.2291858
  Tomas Alva Edison 101, Tabacalera, Cuauhtémoc, Distrito Federal (cdmx)|22000|2|2.0|100|19.4377336|-99.1547865
  Av. Carlos Lazo 100, San Mateo Tlaltenango, Cuajimalpa De Morelos|78000|3|4.0|320|19.3482367|-99.2605663
  Prol. Paseo De La Reforma 100, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)|17500|2|2.0|65|19.382692199999997|-99.247635
  Prolong. Bosques De Reforma 1455, 202, Bosques De Las Lomas, Cuajimalpa De Morelos|45000|3|4.0|420|19.3878909|-99.2631725
  Dr. Barragan 850, Narvarte, Benito Juárez, Distrito Federal (cdmx)|22500|3|2.0|117|19.388557000000002|-99.1479978
  Ejercito Nacional 1, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|26300|2|2.0|95|19.4325493|-99.1727747
  Javier Barros Sierra 245, Lomas De Santa Fe, Ciudad De México|29000|3|3.0|145|19.373375|-99.2534416
  Ramos Millan 49, 0, Américas Unidas, Benito Juárez, Distrito Federal (cdmx)|25000|3|3.0|164|19.3832219|-99.1417738
  Av. Toluca 669 Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|16500|2|2.0|83|19.337556699999997|-99.22428570000001
  Cacahuatales 20, Gabriel Ramos Millán, Iztacalco|10500|2|1.0|60|19.3007538|-99.11777790000001
  Lago Alberto 300, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|26000|2|2.0|93|19.4400628|-99.1830266
  Lago Alberto 300, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|18000|1|1.0|52|19.4400628|-99.1830266
  Lomas De Sotelo 1120, Edificio C - 302, Lomas De Sotelo, Miguel Hidalgo, Distrito Federal (cdmx)|14000|3|3.0|100|19.4459977|-99.2163303
  Calz Tlalpan 2971, Coyoacán, Distrito Federal (cdmx)|20000|4|3.0|129|19.324816100000003|-99.1383462
