Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
  Golfo De San Jorge 37 Tacuba Miguel Hidalgo, Tacuba, Miguel Hidalgo, Distrito Federal (cdmx)|12000|2|2.0|69
  Lomas De Sotelo 1120, Edificio C, Lomas De Sotelo, Miguel Hidalgo, Distrito Federal (cdmx)|14300|3|2.0|110
  Culiacan 1, Ph, Hipódromo Condesa, Cuauhtémoc, Distrito Federal (cdmx)|38000|2|3.0|143
  José María Rico 118, Actipan, Benito Juárez, Distrito Federal (cdmx)|24000|2|3.0|120
  Av. Coyoacán 635, Del Valle, Benito Juárez, Distrito Federal (cdmx)|26000|4|2.0|140
  Andrea Del Castagno 79, Mixcoac, Benito Juárez, Distrito Federal (cdmx)|24200|2|2.0|87
  Sur 109, Iztacalco, Distrito Federal (cdmx)|10000|2|1.0|100
  Paseo De La Reforma 0, Zona Centro, Cuauhtémoc, Distrito Federal (cdmx)|90000|1|2.0|120
  Lago Neuchatel 10, Granada, Miguel Hidalgo, Distrito Federal (cdmx)|29200|3|2.0|125
  Avenida San Miguel 40, Xalpa, Ciudad De México|8500|2|2.0|100
  Uxmal 00, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|19000|2|2.0|85
  Calzada San Isidro 492 San Pedro Xalpa, Azcapotzalco, Cdmx, San Pedro Xalpa, Azcapotzalco, Distrito Federal (cdmx)|11500|3|2.0|90
  Popocatepetl 00, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|19000|2|2.0|86
  Lago Zurich 168, 0, Granada, Miguel Hidalgo, Distrito Federal (cdmx)|26000|2|2.0|100
  Sierra Gorda 23, Torre Encinos - G3, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|116430|3|3.0|352
  Guanábana 10, Nueva Santa Maria, Azcapotzalco, Distrito Federal (cdmx)|10500|2|1.0|75
  Calle10, San Pedro De Los Pinos, Benito Juárez, Distrito Federal (cdmx)|25000|2|2.0|90
  Etla 10, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)|35000|3|2.0|140
  Avenida Centenario 2025, Distrito Federal (cdmx)|19000|2|2.0|3,183
  Lago Zirahuen 98, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|11500|2|1.0|58
