Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
"Departamento en Renta Retorno Arrecife #15
, Las Águilas, Álvaro Obregón, Distrito Federal (cdmx)"|9,500 MX$|2|1|75m2
Departamento en Renta Paseo De La Reforma 439, Cuauhtémoc, Cuauhtémoc, Distrito Federal (cdmx)|Desde				65,000 MX$|1|2|120m2
"Departamento en Renta Laguna De Mayrán #375
, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|19,000 MX$|2|2|82m2
"Departamento en Renta Adolfo Lopez Mateos #5146
, Pedregal De Carrasco, Coyoacán, Distrito Federal (cdmx)"|23,000 MX$|2|2|104m2
"Departamento en Renta General Emiliano Zapata #360
, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)"|16,000 MX$|2|2|78m2
Departamento en Renta Toltecas 166, Carola, Álvaro Obregón, Distrito Federal (cdmx)|11,000 MX$|3|2|70m2
Departamento en Renta Av Centenario 1762, Ciudad De México, Distrito Federal (cdmx)|Desde				16,500 MX$|1|1|50m2
"Departamento en Renta Romulo Oarril #520
, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)"|16,500 MX$|2|2|77m2
"Departamento en Renta Iglesia #270
, Tizapan, Álvaro Obregón, Distrito Federal (cdmx)"|29,000 MX$|3|2|130m2
"Departamento en Renta Av. De Las Torres #805, 407
, Torres De Potrero, Álvaro Obregón, Distrito Federal (cdmx)"|18,000 MX$|2|2|70m2
"Departamento en Renta Presa Falcón #243, Ph1
, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)"|50,000 MX$|2|3|220m2
"Departamento en Renta En Renta Excelente Departamento En Privada De Tamarindos 29, Bosques De Las Lomas, Cuajimalpa De Morelos, Distrito Federal
, Bosques De Las Lomas, Cuajimalpa De Morelos"|26,000 MX$|2|2|160m2
Departamento en Renta Av Sta Fe 482, Santa Fe Cuajimalpa, Cuajimalpa De Morelos|Desde				22,000 MX$|1|2|87m2
"Departamento en Renta Paseo De La Reforma #77
, Tabacalera, Cuauhtémoc, Distrito Federal (cdmx)"|32,750 MX$|1|2|99m2
Departamento en Renta Ave. San Bernabe 655, San Jerónimo Lídice, Ciudad De México|16,000 MX$|2|2|110m2
"Departamento en Renta Tomas Alva Edison #101
, Tabacalera, Cuauhtémoc, Distrito Federal (cdmx)"|22,000 MX$|2|2|100m2
"Departamento en Renta Av. Carlos Lazo #100
, San Mateo Tlaltenango, Cuajimalpa De Morelos"|78,000 MX$|3|4|320m2
"Departamento en Renta Prol. Paseo De La Reforma #100
, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)"|17,500 MX$|2|2|65m2
"Departamento en Renta Prolong. Bosques De Reforma #1455, 202
, Bosques De Las Lomas, Cuajimalpa De Morelos"|45,000 MX$|3|4|420m2
"Departamento en Renta Dr. Barragan #850
, Narvarte, Benito Juárez, Distrito Federal (cdmx)"|22,500 MX$|3|2|117m2
"Departamento en Renta Ejercito Nacional #1
, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|26,300 MX$|2|2|95m2
Departamento en Renta Javier Barros Sierra 245, Lomas De Santa Fe, Ciudad De México|29,000 MX$|3|3|145m2
"Departamento en Renta Ramos Millan #49, 0
, Américas Unidas, Benito Juárez, Distrito Federal (cdmx)"|25,000 MX$|3|3|164m2
Departamento en Renta Av. Toluca 669 Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|16,500 MX$|2|2|83m2
"Departamento en Renta Cacahuatales #20
, Gabriel Ramos Millán, Iztacalco"|10,500 MX$|2|1|60m2
"Departamento en Renta Lago Alberto #300
, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|26,000 MX$|2|2|93m2
"Departamento en Renta Lomas De Sotelo #1120, Edificio C - 302
, Lomas De Sotelo, Miguel Hidalgo, Distrito Federal (cdmx)"|14,000 MX$|3|3|100m2
Departamento en Renta Calz Tlalpan 2971, Coyoacán, Distrito Federal (cdmx)|20,000 MX$|4|3|129m2
Departamento en Renta Sinaloa No. 179 Roma Norte, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)|Desde				21,000 MX$|2|2|70m2
Departamento en Renta Golfo De San Jorge 37 Tacuba Miguel Hidalgo, Tacuba, Miguel Hidalgo, Distrito Federal (cdmx)|12,000 MX$|2|2|69m2
"Departamento en Renta Lomas De Sotelo #1120, Edificio C
, Lomas De Sotelo, Miguel Hidalgo, Distrito Federal (cdmx)"|14,300 MX$|3|2|110m2
"Departamento en Renta Culiacan #1, Ph
, Hipódromo Condesa, Cuauhtémoc, Distrito Federal (cdmx)"|38,000 MX$|2|3|143m2
"Departamento en Renta José María Rico #118
, Actipan, Benito Juárez, Distrito Federal (cdmx)"|24,000 MX$|2|3|120m2
"Departamento en Renta Av. Coyoacán #635
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|26,000 MX$|4|2|140m2
